term,abbreviation,synonyms,related,definition,audience,images,uuid
transmission,,,"Mother-to-Child Transmission, Secondary Transmission","The transfer (spread) of a disease or infection from person to person. HIV is spread mainly by having sex or sharing injection drug equipment such as needles with someone who has HIV. HIV can also be passed from mother to child during pregnancy, labor or delivery, or breastfeeding (through breast milk). HIV medicines reduce the risk of HIV transmission.",Newly Infected,,df8307ff-4140-4860-8bce-eda1d0fe9e4a
transmitted resistance,,primary resistance,"Acquired Resistance, Drug Resistance",When a person becomes infected with a strain of HIV that is already resistant to certain anti-retroviral (ARV) drugs.,Newly Infected,,f3e059ad-048c-4da1-9a28-b45092658f41
transplacental,,,,"Passage through or across the placenta. Transplacental usually refers to the exchange of nutrients, waste products, drugs, infectious organisms, or other substances between the mother and the fetus.",,,f37673f0-63ad-40ec-924e-1c2347930ec2
treatment failure,,,"Virologic Failure, Clinical Failure, Suboptimal Immunologic Response","When an anti-retroviral (ARV) regimen is unable to control HIV infection. Treatment failure can be clinical failure, immunologic failure, virologic failure, or any combination of the three. Factors that can contribute to treatment failure include drug resistance, drug toxicity, or poor treatment adherence.",Newly Infected,,42198988-d6f2-4f77-b1f0-73e38e71191c
treatment regimen,,,drug class,A structured treatment plan designed to improve and maintain health. Recommended regimens for the initial treatment of HIV include a combination of three or more anti-retroviral (ARV) drugs from at least two different HIV drug classes.,Newly Infected,,b6dea0d1-eb99-4093-97b8-91abe6bc3576
treatment-experienced,,,Treatment-Naive,When a person with HIV is currently taking or has previously taken anti-retroviral (ARV) drugs.,Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Treatment-Naive-and-Experienced-600.jpg,bef69a57-979a-44ed-ad2e-c3b75618c8cb
treatment-naive,,,Treatment-Experienced,When a person with HIV has never taken anti-retroviral  (ARV) drugs.,Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Treatment-Naive-and-Experienced-600.jpg,a1144d34-c384-4d68-8726-66485e3368a3
triglycerides,,,,A type of fat in blood and adipose (fat) tissue.,,,d36672d1-8f6c-4e37-a1c4-0fc679fde498
triple-class experienced,,,,When an HIV-infected person has received anti-retroviral (ARV) drugs from three drug classes.,Living with HIV,,c71f725e-d4e5-4e20-8d07-6336dceaeada
true negative,,,,"A negative test result that correctly indicates that the condition being tested for is not present. For example, a true negative HIV test correctly indicates that a person is not infected with HIV.",Advanced,,858e3e88-3b12-41cc-aeee-f8f1fc487e08
true positive,,,,"A positive test result that correctly indicates that the condition being tested for is present. For example, a true positive HIV test correctly indicates that a person is infected with HIV.",Advanced,,afc6cec7-25bc-4ce4-b129-fc7505a3bb6e
tuberculin skin test,,"Mantoux tuberculin skin test, purified protein derivative test","Tuberculosis, Tuberculosis Disease, Latent Tuberculosis infection",A screening test for tuberculosis (TB) performed by injecting a small amount of fluid (called tuberculin) just below the skin. A positive reaction 48 to 72 hours after the injection indicates that the person has been infected with TB bacteria. Additional tests are needed to determine whether the person has latent TB infection or TB disease. People with HIV infection or another medical problem that weakens the immune system should be tested for TB.,Living with HIV,,d5d8f4e9-e184-415d-8c54-5a1e2d379083
tuberculosis,TB,,"Tuberculosis Disease, AIDS-defining condition, Tuberculin Skin Test","An infection caused by the bacteria Mycobacterium tuberculosis and Mycobacterium bovis. Tuberculosis (TB) is spread when a person with an active infection (TB disease) coughs, sneezes, speaks, or sings, and then a person nearby breathes in the bacteria. TB usually affects the lungs, but it can also affect other parts of the body, such as the kidneys, spine, and brain. There are two forms of TB: latent TB infection and TB disease. In people with HIV, TB is considered an AIDS-defining condition.",Living with HIV,,bf9c9249-e21f-4292-99cf-ac8f27795c9e
tuberculosis disease,,,"opportunistic infection, AIDS-defining condition","The active form of tuberculosis (TB) infection. During TB disease, the bacteria multiply, become active, and make the person sick. A person with TB disease of the lungs can spread TB to others. TB disease primarily affects the lungs, but it can also affect other parts of the body, such as the kidneys, spine, and brain, and it can be fatal. Symptoms include a bad cough that lasts 3 weeks or longer, chest pain, coughing up blood or sputum, weakness, fatigue, loss of appetite, weight loss, fever, chills, and sweating at night. In people with HIV, TB disease is an AIDS-defining condition.",Living with HIV,,8d066f93-309f-4a1d-8917-3b9a8aa8b25b
undetectable viral load,,,"Latent HIV Reservoir, viral load Test","When the amount of HIV in the blood is too low to be detected with a viral load (HIV RNA) test. anti-retroviral (ARV) drugs may reduce a person's viral load to an undetectable level; however, that does not mean the person is cured. Some HIV, in the form of latent HIV reservoirs, remain inside cells and in body tissues.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Undetectable-Viral-Load-600.jpg,ef132ed1-f2d0-4337-90bd-b8691575a3cd
urinalysis,,,,"Physical, chemical, and microscopic examination of urine. Urinalysis can detect a specific substance, such as glucose or blood, in the urine—this can be helpful in diagnosing a disease or monitoring the body's response to treatment.",Living with HIV,,513f2de7-eeaa-4525-88e1-a0e738b24a96
urolithiasis,,,,Calculi (stones) in the urinary tract. Use of some anti-retroviral (ARV) drugs may cause urolithiasis.,Living with HIV,,db8c46a7-a0c7-4ab4-b149-5150221c8e4e
urticaria,,hives,,"Raised, swollen, itchy areas on the skin or mucous membranes, usually caused by an allergic reaction to a drug or food.",,,3220bc18-aef2-4623-baf9-461dba2c4027
vaccination,,immunization,vaccine,Giving a vaccine to stimulate a person's immune response. Vaccination can be intended either to prevent a disease (a preventive vaccine) or to treat a disease (a therapeutic vaccine).,Newly Infected,,4866ce9b-aac4-42c2-a56d-1e913bff1887
vaccine,,inoculation,"preventive HIV vaccine, therapeutic HIV vaccine","A substance administered to trigger an immune response against a particular disease. Most vaccines are designed to prevent a person from ever having a particular disease or to only have a mild case of the disease. However, therapeutic vaccines are intended to treat specific diseases. Although researchers are testing vaccines both to prevent and treat HIV/AIDS, no HIV vaccine is currently approved for use outside of clinical trials.",Newly Infected,,4ccdbe1d-0251-4e98-bb4f-396479453784
vaccinia,,,vaccine,"The pox-type virus used in the vaccine that eradicated smallpox. Researchers are studying the possibility of using a modified, milder version of the vaccinia virus to develop a vaccine against HIV infection.",Advanced,,570d41a8-14e1-4cd4-bad2-2b4bf44b1b7c
vacuolar myelopathy,,,Myelin,"A neurological disorder associated with advanced HIV infection. Vacuolar myelopathy causes the protective myelin sheath to pull away from nerve cells of the spinal cord, forming small holes (vacuoles) in nerve fibers. Symptoms of vacuolar myelopathy include weak and stiff legs and unsteadiness when walking.",Advanced,,bc009d35-6ec1-4b4e-b38c-53523e0e4eb9
varicella zoster virus,VZV,"herpes zoster, human herpesvirus 3","herpesviruses, opportunistic infection, shingles","A type of herpesvirus that causes chicken pox. After initial infection with varicella zoster virus (VZV), the inactive (latent) form of the virus can remain in the body. If the latent virus becomes active again, it can cause shingles.",,,e30c03d9-b51d-4693-afe8-3954f95b260a
vector,,,Genetic Engineering,"In genetically engineered vaccines, a vector is a bacterium or virus that transports antigen-coding genes into the body to provoke an immune response. (The vector itself does not provoke an immune response or cause disease.) A vector may also refer to an organism, especially an insect, that transmits disease-causing agents.",,,a31ad5f8-7bee-47d3-8326-a422480c5e68
vertical transmission,,,Sexual Transmission,"Vertical transmission of HIV refers to HIV transmission from an HIV-infected mother to her child during pregnancy, labor and delivery, or breastfeeding (through breast milk).",Living with HIV,https://aidsinfo.nih.gov/images/glossaryimages/Vertical-Transmission-600.jpg,931ee68e-f9f3-41e6-81ec-7254c9446955
viral evolution,,,,The change in the genetic makeup of a virus population as the viruses mutate and multiply over time. HIV evolves rapidly because of its high mutation and replication rates. anti-retroviral therapy (ART) and the body's immune response can also influence HIV evolution.,Living with HIV,,a031f220-d0c3-401a-bb69-b30cbbcac15b
viral latency,,,latent HIV reservoir,"When a virus is present in the body but exists in a resting (latent) state without producing more virus. A latent viral infection usually does not cause any noticeable symptoms and can last a long period of time before becoming active and causing symptoms. HIV is capable of viral latency, as seen in the reservoirs of latent HIV-infected cells that persist in a person’s body despite anti-retroviral therapy (ART).",Newly Infected,,c139d169-70e5-48be-9002-84790d699839
viral load,VL,,viral load Test,The amount of HIV in a sample of blood. Viral load (VL) is reported as the number of HIV RNA copies per milliliter of blood. An important goal of anti-retroviral therapy (ART) is to suppress a person’s VL to an undetectable level—a level too low for the virus to be detected by a VL test.,Newly Infected,,9722267a-8cfd-4998-bc91-ae3bb5669e95
viral load test,,,"Reverse Transcriptase-Polymerase Chain Reaction-Based Assay, Quantitative Branched DNA Assay, Qualitative Transcription-Mediated Amplification Assay","A laboratory test that measures the amount of HIV in a blood sample. Results are reported as the number of copies of HIV RNA per milliliter of blood. Examples of viral load tests include quantitative branched DNA (bDNA), reverse transcriptase-polymerase chain reaction (RT-PCR), and qualitative transcription-mediated amplification. Viral load tests are used to diagnose acute HIV infection, guide treatment choices, and monitor response to anti-retroviral therapy (ART).",Newly Infected,,30a58c6d-040c-4b29-b33c-1a625407d9c2
